t,target_x,target_y,target_h_deg,x,y,h_deg
312.213,,,,-0.0003,0.0003,0.07
312.264,,,,-0.0003,0.0003,0.07
312.314,,,,-0.0003,0.0003,0.07
312.365,,,,-0.0003,0.0003,0.07
312.415,,,,-0.0003,0.0003,0.07
312.466,,,,-0.0003,0.0003,0.07
312.516,,,,-0.0003,0.0003,0.07
312.567,,,,-0.0003,0.0003,0.07
312.617,,,,-0.0003,0.0003,0.07
312.668,,,,-0.0003,0.0003,0.08
312.718,,,,-0.0003,0.0003,0.08
312.769,,,,-0.0003,0.0003,0.07
312.819,,,,-0.0003,0.0003,0.08
312.869,,,,-0.0003,0.0003,0.07
312.92,,,,-0.0003,0.0003,0.07
312.97,,,,-0.0003,0.0003,0.08
313.021,,,,-0.0003,0.0003,0.08
313.072,,,,-0.0003,0.0003,0.08
313.123,,,,-0.0003,0.0003,0.08
313.173,,,,-0.0003,0.0003,0.08
313.224,,,,-0.0003,0.0003,0.08
313.275,,,,-0.0003,0.0003,0.08
313.326,,,,-0.0003,0.0003,0.08
313.376,,,,-0.0003,0.0003,0.08
313.427,,,,-0.0003,0.0003,0.08
313.477,,,,-0.0003,0.0003,0.08
313.528,,,,-0.0003,0.0003,0.08
313.579,,,,-0.0003,0.0003,0.08
313.63,,,,-0.0003,0.0003,0.08
313.681,,,,-0.0003,0.0003,0.08
313.732,,,,-0.0003,0.0003,0.08
313.783,,,,-0.0003,0.0003,0.08
313.833,,,,-0.0003,0.0003,0.08
313.884,,,,-0.0003,0.0003,0.08
313.935,,,,-0.0003,0.0003,0.08
313.986,,,,-0.0004,0.0003,0.09
314.04,,,,-0.0003,0.0003,0.08
314.091,,,,-0.0004,0.0003,0.09
314.141,,,,-0.0003,0.0003,0.08
314.191,,,,-0.0003,0.0003,0.08
314.242,,,,-0.0004,0.0003,0.09
314.293,,,,-0.0004,0.0003,0.09
314.343,,,,-0.0004,0.0003,0.09
314.394,,,,-0.0004,0.0003,0.09
314.444,,,,-0.0004,0.0003,0.09
314.495,,,,-0.0004,0.0003,0.09
314.545,,,,-0.0004,0.0003,0.09
314.596,,,,-0.0004,0.0003,0.09
314.647,,,,-0.0004,0.0003,0.09
314.698,,,,-0.0004,0.0003,0.09
314.748,,,,-0.0004,0.0003,0.09
314.799,,,,-0.0004,0.0003,0.09
314.849,,,,-0.0004,0.0003,0.09
314.899,,,,-0.0004,0.0003,0.09
314.95,,,,-0.0004,0.0003,0.09
315.001,,,,-0.0004,0.0004,0.1
315.052,,,,-0.0004,0.0003,0.09
315.102,,,,-0.0004,0.0004,0.1
315.153,,,,-0.0004,0.0003,0.09
